feature,min,max,mutable,type
age,16.0,89.0,true,int
bmi,14.84492591,67.81498973,true,real
elective_surgery,0.0,1.0,true,int
ethnicity,1.0,7.0,true,cat
gender,1.0,3.0,true,cat
height,137.2,195.59,true,real
hospital_admit_source,1.0,16.0,true,cat
icu_admit_source,1.0,6.0,true,cat
icu_stay_type,1.0,3.0,true,cat
icu_type,1.0,8.0,true,cat
pre_icu_los_days,-0.224305556,67.02361111,true,real
readmission_status,0.0,0.0,true,int
weight,38.6,186.0,true,real
apache_2_diagnosis,101.0,308.0,true,int
apache_3j_diagnosis,101.01,2201.05,true,real
apache_post_operative,0.0,1.0,true,int
arf_apache,0.0,1.0,true,int
bun_apache,4.0,127.0,true,real
creatinine_apache,0.3,11.18,true,real
gcs_eyes_apache,1.0,4.0,true,int
gcs_motor_apache,1.0,6.0,true,int
gcs_unable_apache,0.0,0.0,true,int
gcs_verbal_apache,1.0,5.0,true,int
glucose_apache,39.0,598.7,true,real
heart_rate_apache,30.0,178.0,true,int
hematocrit_apache,16.2,51.4,true,real
intubated_apache,0.0,1.0,true,int
map_apache,40.0,200.0,true,int
resprate_apache,4.0,60.0,true,real
sodium_apache,117.0,158.0,true,real
temp_apache,32.1,39.7,true,real
ventilated_apache,0.0,1.0,true,int
wbc_apache,0.9,45.8,true,real
d1_diasbp_max,46.0,165.0,true,int
d1_diasbp_min,13.0,90.0,true,int
d1_diasbp_noninvasive_max,46.0,165.0,true,int
d1_diasbp_noninvasive_min,13.0,90.0,true,int
d1_heartrate_max,58.0,177.0,true,int
d1_heartrate_min,0.0,143.0,true,int
d1_mbp_max,60.0,184.0,true,int
d1_mbp_min,22.0,112.0,true,int
d1_mbp_noninvasive_max,60.0,181.0,true,int
d1_mbp_noninvasive_min,22.0,112.0,true,int
d1_resprate_max,14.0,92.0,true,int
d1_resprate_min,0.0,72.0,true,int
d1_spo2_max,13.0,100.0,true,int
d1_spo2_min,0.0,100.0,true,int
d1_sysbp_max,90.0,232.0,true,int
d1_sysbp_min,41.0,160.0,true,int
d1_sysbp_noninvasive_max,90.0,232.0,true,int
d1_sysbp_noninvasive_min,41.03,160.0,true,real
d1_temp_max,35.1,39.9,true,real
d1_temp_min,31.889,37.8,true,real
h1_diasbp_max,37.0,143.0,true,int
h1_diasbp_min,22.0,113.0,true,int
h1_diasbp_noninvasive_max,37.0,144.0,true,int
h1_diasbp_noninvasive_min,22.0,114.0,true,int
h1_heartrate_max,46.0,164.0,true,int
h1_heartrate_min,36.0,144.0,true,int
h1_mbp_max,49.0,165.0,true,int
h1_mbp_min,32.0,138.0,true,int
h1_mbp_noninvasive_max,49.0,163.0,true,int
h1_mbp_noninvasive_min,32.0,138.0,true,int
h1_resprate_max,10.0,59.0,true,int
h1_resprate_min,0.0,118.0,true,int
h1_spo2_max,10.0,100.0,true,int
h1_spo2_min,0.0,100.0,true,int
h1_sysbp_max,75.0,223.0,true,int
h1_sysbp_min,53.0,194.0,true,int
h1_sysbp_noninvasive_max,75.0,223.0,true,int
h1_sysbp_noninvasive_min,53.0,195.0,true,int
h1_temp_max,33.4,39.5,true,real
h1_temp_min,32.9,39.3,true,real
d1_bun_max,4.0,126.0,true,real
d1_bun_min,3.0,113.09,true,real
d1_calcium_max,6.2,10.8,true,real
d1_calcium_min,5.5,10.3,true,real
d1_creatinine_max,0.34,11.11,true,real
d1_creatinine_min,0.3,9.9379,true,real
d1_glucose_max,73.0,611.0,true,int
d1_glucose_min,33.0,288.0,true,int
d1_hco3_max,12.0,40.0,true,real
d1_hco3_min,7.0,39.0,true,real
d1_hemaglobin_max,6.8,17.2,true,real
d1_hemaglobin_min,5.3,16.7,true,real
d1_hematocrit_max,20.4,51.5,true,real
d1_hematocrit_min,16.1,50.0,true,real
d1_platelets_max,27.0,585.0,true,int
d1_platelets_min,18.55,557.45,true,real
d1_potassium_max,2.8,7.0,true,real
d1_potassium_min,2.4,5.8,true,real
d1_sodium_max,123.0,158.0,true,real
d1_sodium_min,117.0,153.0,true,real
d1_wbc_max,1.2,46.08,true,real
d1_wbc_min,0.9,40.898,true,real
apache_4a_hospital_death_prob,-1.0,0.98,true,real
apache_4a_icu_death_prob,-1.0,0.97,true,real
aids,0.0,1.0,true,int
cirrhosis,0.0,1.0,true,int
diabetes_mellitus,0.0,1.0,true,int
hepatic_failure,0.0,1.0,true,int
immunosuppression,0.0,1.0,true,int
leukemia,0.0,1.0,true,int
lymphoma,0.0,1.0,true,int
solid_tumor_with_metastasis,0.0,1.0,true,int
apache_3j_bodysystem,1.0,11.0,true,cat
apache_2_bodysystem,1.0,10.0,true,cat
apache_3j_diagnosis_split0,2.0,112.0,true,cat
hospital_death,0.0,1.0,false,cat
